 ,2007,2011,2011: Share of ‘native candidates’
UR vote,Candidates in list,Mandates won,UR vote,Candidates in list,Mandates won,Difference in mandates,All list,Winning positions,Elected candidate
Lipetsk,0.6230,6,3,0.4009,6,2,–1,0.8333,0.6667,0.5000
Magadan,0.5524,4,1**,0.4104,3,0,–1,0.6667,1.0000,n/a
Marii El,0.6754,4,2,0.5224,4,1,–1,0.7500,0.5000,0.0000
Mordoviya,0.9341,7,4,0.9162,6,4,0,0.6667,0.5000,0.5000
Moscow,0.5415,27,15,0.4662,30,15,0,1.0000,1.0000,1.0000
Moscow Oblast’,0.5976,22,14,0.3310,24,7,–7,1.0000,1.0000,1.0000
Murmansk,0.5511,5,2,0.3202,5,1,–1,0.6000,0.5000,0.0000
Nizhegorod Oblast’,0.6063,13,7,0.4455,11,5,–2,0.6364,0.4286,0.2000
Novgorod,0.6313,5,2,0.3458,3,1,–1,1.0000,1.0000,1.0000
Novosibirsk,0.5907,10,5,0.3384,10,3,–2,0.8000,0.8000,1.0000
Omsk,0.6014,9,4,0.3961,8,3,–1,0.7500,0.5000,0.3333
Orenburg,0.6031,8,4,0.3489,8,2,–2,0.7500,0.5000,0.0000
Oryol,0.5985,5,2,0.3899,5,1,–1,0.6000,0.0000,0.0000
Penza,0.7031,6,4,0.5630,6,3,–1,0.6667,0.7500,0.6667
Perm,0.6206,10,5,0.3628,10,3,–2,0.7000,0.6000,0.6667
Primorskii Krai,0.5487,6,3,0.3299,6,2,–1,0.6667,0.6667,0.5000
Pskov,0.5673,6,2,0.3665,5,1,–1,1.0000,1.0000,1.0000
Rostov,0.7190,13,11,0.5022,13,7,–4,0.7692,0.7273,0.5714
Ryazan,0.5710,7,2,0.3979,7,2,0,1.0000,1.0000,1.0000
Samara,0.5608,11,5,0.3937,12,4,–1,0.7500,0.6000,0.5000
St Petersburg,0.5033,19,7,0.3535,16,5,–2,1.0000,1.0000,1.0000
Saratov,0.6481,10,6,0.6489,12,6,0,0.9167,0.8333,0.8333
Sakhalin,0.6296,4,1,0.4191,4,1,0,1.0000,1.0000,1.0000
Sverdlovsk Oblast’,0.6204,11,9,0.3271,11,4,–5,0.9091,0.8889,0.7500
North Ossetiya,0.7178,4,1,0.6790,4,2,1,1.0000,1.0000,1.0000
Smolensk,0.5392,4,2,0.3623,4,1,–1,0.7500,0.5000,0.0000
Stavropol,0.6220,9,5,0.4911,9,4,–1,0.7778,0.8000,0.7500
Tambov,0.5979,5,2,0.6666,5,3,1,0.6000,0.0000,0.3333
Tatarstan,0.8107,18,14,0.7783,18,13,–1,0.8889,0.8571,0.8462
Tver,0.5971,7,3,0.3844,6,2,–1,0.8333,0.6667,0.5000
Tomsk,0.5841,6,2,0.3751,5,1,–1,1.0000,1.0000,1.0000
Tula,0.6172,7,3,0.6132,8,4,1,0.5000,0.3333,0.5000
Tuva,0.8900,4,1,0.8529,4,1,0,0.7500,1.0000,1.0000
Tyumen,0.7357,6,4,0.6221,6,4,0,0.8333,0.7500,0.7500
Udmurtiya,0.6057,6,3,0.4509,5,2,–1,0.6000,0.3333,0.0000
Ulyanovsk,0.6624,7,3,0.4356,7,2,–1,0.4286,0.3333,0.0000
Khabarovsk,0.6067,8,3,0.3814,6,2,–1,0.8333,0.6667,0.5000
Khakasiya,0.5953,4,1,0.4013,4,1,0,0.7500,0.0000,0.0000
Khanty-Mansi AO,0.6595,6,3,0.4101,6,2,–1,1.0000,1.0000,1.0000
Chelyabinsk,0.6111,11,8,0.5028,12,6,–2,1.0000,1.0000,1.0000
Chechnya,0.9936,6,4,0.9948,7,4,0,1.0000,1.0000,1.0000
Chuvashiya,0.6227,7,3,0.4342,7,2,–1,0.7143,0.6667,0.5000
Yakutiya,0.6399,5,2,0.4916,5,1,–1,1.0000,1.0000,1.0000
Yamalo-Nenets AO,0.7935,5,2,0.7168,4,2,0,1.0000,1.0000,1.0000
Yaroslavl,0.5317,8,3,0.2904,6,1,–2,0.6667,0.6667,1.0000
